"code","team","city","name","capacity","built","seat","lat","lon","lonlat","unique.team"
"CAN","Ottawa RedBlacks","Ottawa","TD Place Stadium",24000,"1908","all-seater",45.3983772,-75.6834122873608,"45.3983772:-75.6834122873608","ottawa-redblacks"
"CAN","Ottawa Gee-Gees","Ottawa","TD Place Stadium",24000,"1908","all-seater",0,0,"0:0","ottawa-gee-gees"
"CAN","Ottawa Fury","Ottawa","TD Place Stadium",24000,"1908","all-seater",0,0,"0:0","ottawa-fury"
"CAN","Hamilton Tiger-Cats","Hamilton","Tim Hortons Field",24000,"2014","22 500",43.25231255,-79.8301086091421,"43.25231255:-79.8301086091421","hamilton-tiger-cats"
"CAN","Toronto Raptors","Toronto","Air Canada Centre",20300,"1999","19 800",43.64342985,-79.3790593837325,"43.64342985:-79.3790593837325","toronto-raptors"
"CAN","Toronto Maple Leafs","Toronto","Air Canada Centre",19300,"1999","18 819",0,0,"0:0","toronto-maple-leafs"
"CAN","Toronto Rock","Toronto","Air Canada Centre",19300,"1999","18 819",0,0,"0:0","toronto-rock"
"CAN","Ottawa Senators","Ottawa","Scotia Bank Place",19153,"1996","all-seater",45.3926804,-75.6810611,"45.3926804:-75.6810611","ottawa-senators"
"CAN","Hamilton Bulldogs","Hamilton","FirstOntario Centre",17500,"1985","all-seater",43.25909415,-79.8721951959795,"43.25909415:-79.8721951959795","hamilton-bulldogs"
"CAN","Ottawa 67's","Ottawa","Civic Centre Arena",10530,"1968","all-seater",52.92317765,-1.14562177333099,"52.92317765:-1.14562177333099","ottawa-67s"
"CAN","Ottawa Champions","Ottawa","RCGT Park",10332,"1993","all-seater",41.6814041,-83.6407465388698,"41.6814041:-83.6407465388698","ottawa-champions"
"CAN","Toronto Marlies","Toronto","RICOH Coliseum",10000,"2003","all-seater",43.63562625,-79.4149183991325,"43.63562625:-79.4149183991325","toronto-marlies"
"CAN","London Knights","London","Budweiser Gardens",9046,"2002","all-seater",42.9824663,-81.2525126932733,"42.9824663:-81.2525126932733","london-knights"
"CAN","Soccer-use","Toronto","Lamport Stadium",9000,"1978","all-seater",43.6389932,-79.4232084505714,"43.6389932:-79.4232084505714","soccer-use"
"CAN","Western Ontario","London","TD Waterhouse Stadium",8000,"2001","all-seater",42.9998537,-81.2737829979953,"42.9998537:-81.2737829979953","western-ontario"
"CAN","Kitchener Rangers","Kitchener","Memorial Auditorium Complex",7777,"1950","7 234",43.4476101,-80.4657824388747,"43.4476101:-80.4657824388747","kitchener-rangers"
"CAN","Guelph Gryphons","Guelph","Alumni Stadium",7600,"1970","all-seater",42.33509195,-71.1662559325583,"42.33509195:-71.1662559325583","guelph-gryphons"
"CAN","Windsor Spitfires","Windsor","WFCU Centre",6500,"1924","all-seater",42.31950235,-82.9276890912937,"42.31950235:-82.9276890912937","windsor-spitfires"
"CAN","Oshawa Generals","Oshawa","General Motors Centre",6107,"1963","5 180",43.8967733,-78.8594695102794,"43.8967733:-78.8594695102794","oshawa-generals"
"CAN","St. Michaels Majors","Mississauga","Hershey Centre",5612,"1998","5 512",43.63144765,-79.6538765262908,"43.63144765:-79.6538765262908","st-michaels-majors"
"CAN","Queen's Golden Gaels","Kingston","Richardson Stadium",6000,"1971","all-seater",44.22759835,-76.5163031492533,"44.22759835:-76.5163031492533","queens-golden-gaels"
"CAN","Sudbury Wolves","Sudbury","Sudbury Arena",5960,"1951","4 760",46.4880831,-80.9926595,"46.4880831:-80.9926595","sudbury-wolves"
"CAN","Laurentian Voyageurs","Sudbury","Sudbury Arena",5960,"1951","4 760",0,0,"0:0","laurentian-voyageurs"
"CAN","Metro Lions","Toronto","Birchmount Stadium",6000,"1998","all-seater",43.69575095,-79.2607774953292,"43.69575095:-79.2607774953292","metro-lions"
